DateTime,AT,AVGCi,AVGVi,DEWPNT,DT,EC010,EC020,EC030,EC040,EC050,EC060,EC070,EC080,EC090,EC100,EC110,EC120,HFDI,PTi,RAIN,RH,RID,SM020,SM030,SM040,SM050,SM060,SM070,SM080,SM090,SM100,SM110,SM120,SM130,SMB,SMSUM,SMSUML,SMSUMU,ST010,ST020,ST030,ST040,ST050,ST060,ST070,ST080,ST090,ST100,ST110,ST120,WD,WSAV,WSMN,WSMX,station,EC130,ST130,BATCHG,BATV,BP,DELAY,ERR,INTEMP,RES,RSSI,SPV,VP,SM010,CSM010,CSM020,CSM030,CSM040,CSM050,CSM060,CSM070,CSM080,CSMSUM,CSMSUML,CSMSUMU,FLYSTRK,LWS,SR,CSM090,CSM100,CSM110,CSM120,CSM130
2025-06-01 00:00:00,,,,,,,1.57,1.48,1.89,1.97,2.33,2.58,2.53,2.61,2.51,2.86,2.78,,,0.0,,,46.84,50.48,56.05,50.2,43.62,43.7,49.7,52.5,62.16,59.6,62.33,67.46,,644.64,353.75,290.89,,10.9,11.61,11.93,12.37,12.47,12.91,13.2,13.47,14.09,14.22,14.36,2000.0,,,,Dooen 2,2.72,14.64,0.0,12.72,,,,,,,,,,,39.44,42.36,49.58,46.32,44.37,47.81,49.81,601.77,331.89,269.88,,,,52.69,57.28,53.47,55.25,63.39
2025-06-01 00:15:00,,,,,,,1.57,1.48,1.89,1.96,2.32,2.58,2.53,2.61,2.51,2.86,2.78,,,0.0,,,46.77,50.48,56.06,50.18,43.62,43.66,49.69,52.5,62.22,59.6,62.3,67.43,,644.51,353.74,290.77,,10.88,11.64,11.94,12.33,12.51,12.89,13.2,13.48,14.08,14.24,14.33,2000.0,,,,Dooen 2,2.71,14.61,0.0,12.72,,,,,,,,,,,39.4,42.35,49.55,46.35,44.38,47.82,49.83,601.63,331.78,269.85,,,,52.69,57.28,53.45,55.19,63.34
2025-06-01 00:30:00,,,,,,,1.56,1.48,1.89,1.97,2.32,2.58,2.53,2.61,2.51,2.86,2.78,,,0.0,,,46.75,50.48,56.06,50.24,43.62,43.69,49.64,52.52,62.19,59.65,62.32,67.4,,644.56,353.72,290.84,,10.86,11.6,11.92,12.32,12.49,12.87,13.19,13.46,14.08,14.23,14.35,2000.0,,,,Dooen 2,2.72,14.6,0.0,12.71,,,,,,,,,,,39.37,42.34,49.58,46.32,44.41,47.79,49.83,601.67,331.86,269.81,,,,52.73,57.28,53.43,55.24,63.35
2025-06-01 00:45:00,,,,,,,1.56,1.48,1.89,1.97,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.72,50.44,56.05,50.21,43.6,43.7,49.64,52.53,62.22,59.6,62.33,67.46,,644.5,353.78,290.72,,10.84,11.61,11.92,12.34,12.46,12.89,13.18,13.49,14.08,14.23,14.35,2000.0,,,,Dooen 2,2.71,14.61,0.0,12.7,,,,,,,,,,,39.36,42.37,49.56,46.33,44.41,47.77,49.81,601.69,331.89,269.8,,,,52.73,57.34,53.47,55.2,63.34
2025-06-01 01:00:00,,,,,,,1.56,1.48,1.89,1.97,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.74,50.45,56.02,50.17,43.62,43.68,49.69,52.52,62.19,59.65,62.38,67.44,,644.55,353.87,290.68,,10.81,11.59,11.93,12.33,12.46,12.87,13.16,13.46,14.07,14.21,14.33,2000.0,,,,Dooen 2,2.72,14.62,0.0,12.69,,,,,,,,,,,39.37,42.36,49.61,46.35,44.4,47.82,49.81,601.68,331.77,269.91,,,,52.69,57.27,53.45,55.21,63.34
2025-06-01 01:15:00,,,,,,,1.56,1.48,1.89,1.97,2.32,2.58,2.53,2.61,2.51,2.86,2.78,,,0.0,,,46.78,50.46,56.02,50.16,43.61,43.69,49.67,52.51,62.14,59.65,62.32,67.43,,644.44,353.72,290.72,,10.79,11.61,11.91,12.33,12.48,12.87,13.17,13.47,14.08,14.21,14.34,2000.0,,,,Dooen 2,2.71,14.62,0.0,12.68,,,,,,,,,,,39.43,42.35,49.55,46.37,44.37,47.8,49.81,601.8,331.93,269.87,,,,52.74,57.29,53.5,55.23,63.36
2025-06-01 01:30:00,,,,,,,1.56,1.48,1.89,1.97,2.33,2.58,2.53,2.61,2.51,2.86,2.78,,,0.0,,,46.77,50.47,56.09,50.21,43.62,43.67,49.66,52.51,62.16,59.63,62.32,67.43,,644.54,353.71,290.83,,10.75,11.59,11.92,12.36,12.48,12.87,13.19,13.45,14.07,14.21,14.34,2000.0,,,,Dooen 2,2.71,14.59,0.0,12.68,,,,,,,,,,,39.46,42.37,49.56,46.34,44.38,47.77,49.79,601.88,332.0,269.88,,,,52.74,57.29,53.47,55.23,63.48
2025-06-01 01:45:00,,,,,,,1.56,1.47,1.89,1.97,2.32,2.58,2.53,2.61,2.51,2.86,2.78,,,0.0,,,46.8,50.46,56.09,50.17,43.62,43.69,49.67,52.52,62.18,59.6,62.3,67.45,,644.55,353.72,290.83,,10.72,11.59,11.94,12.34,12.44,12.87,13.22,13.44,14.05,14.21,14.34,2000.0,,,,Dooen 2,2.71,14.62,0.0,12.67,,,,,,,,,,,39.41,42.35,49.59,46.33,44.4,47.77,49.81,601.65,331.8,269.85,,,,52.68,57.28,53.44,55.25,63.34
2025-06-01 02:00:00,,,,,,,1.55,1.48,1.89,1.97,2.32,2.58,2.53,2.61,2.51,2.86,2.78,,,0.0,,,46.73,50.47,56.09,50.15,43.62,43.67,49.67,52.54,62.15,59.62,62.32,67.41,,644.44,353.71,290.73,,10.7,11.59,11.95,12.34,12.5,12.87,13.17,13.44,14.04,14.21,14.33,2000.0,,,,Dooen 2,2.72,14.61,0.0,12.65,,,,,,,,,,,39.38,42.35,49.6,46.35,44.41,47.81,49.82,601.74,331.84,269.9,,,,52.72,57.28,53.44,55.23,63.35
2025-06-01 02:15:00,,,,,,,1.55,1.48,1.89,1.97,2.32,2.58,2.53,2.61,2.51,2.86,2.78,,,0.0,,,46.75,50.48,56.03,50.18,43.64,43.68,49.67,52.51,62.19,59.64,62.31,67.44,,644.52,353.76,290.76,,10.7,11.59,11.92,12.34,12.49,12.89,13.2,13.45,14.08,14.2,14.34,2000.0,,,,Dooen 2,2.71,14.59,0.0,12.65,,,,,,,,,,,39.37,42.34,49.58,46.31,44.39,47.78,49.78,601.58,331.81,269.77,,,,52.73,57.31,53.42,55.21,63.36
2025-06-01 02:30:00,,,,,,,1.55,1.47,1.89,1.97,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.76,50.43,56.06,50.2,43.62,43.7,49.66,52.52,62.22,59.63,62.3,67.43,,644.53,353.76,290.77,,10.64,11.56,11.93,12.35,12.46,12.86,13.19,13.44,14.08,14.22,14.34,2000.0,,,,Dooen 2,2.72,14.6,0.0,12.64,,,,,,,,,,,39.33,42.34,49.54,46.34,44.38,47.76,49.78,601.59,331.9,269.69,,,,52.75,57.28,53.49,55.24,63.36
2025-06-01 02:45:00,,,,,,,1.55,1.47,1.89,1.97,2.32,2.58,2.53,2.61,2.51,2.86,2.78,,,0.0,,,46.76,50.43,56.05,50.2,43.61,43.7,49.66,52.53,62.16,59.63,62.33,67.45,,644.51,353.76,290.75,,10.63,11.58,11.93,12.37,12.47,12.89,13.17,13.44,14.08,14.21,14.34,2000.0,,,,Dooen 2,2.71,14.58,-0.01,12.63,,,,,,,,,,,39.27,42.38,49.58,46.37,44.39,47.78,49.78,601.57,331.8,269.77,,,,52.73,57.26,53.44,55.25,63.34
2025-06-01 03:00:00,,,,,,,1.55,1.47,1.89,1.96,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.76,50.43,56.06,50.18,43.62,43.68,49.69,52.49,62.19,59.62,62.27,67.41,,644.4,353.67,290.73,,10.61,11.53,11.93,12.35,12.48,12.87,13.16,13.45,14.05,14.22,14.32,2000.0,,,,Dooen 2,2.71,14.59,0.0,12.63,,,,,,,,,,,39.34,42.39,49.55,46.35,44.38,47.77,49.81,601.58,331.8,269.78,,,,52.76,57.28,53.42,55.21,63.32
2025-06-01 03:15:00,,,,,,,1.54,1.47,1.89,1.97,2.32,2.58,2.52,2.6,2.51,2.86,2.78,,,0.0,,,46.7,50.42,56.06,50.14,43.62,43.65,49.68,52.52,62.19,59.64,62.3,67.39,,644.31,353.72,290.59,,10.59,11.57,11.93,12.34,12.49,12.87,13.16,13.47,14.08,14.21,14.33,2000.0,,,,Dooen 2,2.71,14.59,0.0,12.62,,,,,,,,,,,39.34,42.35,49.55,46.38,44.39,47.78,49.79,601.67,331.88,269.79,,,,52.74,57.32,53.46,55.24,63.33
2025-06-01 03:30:00,,,,,,,1.54,1.47,1.89,1.96,2.32,2.58,2.53,2.61,2.51,2.86,2.78,,,0.0,,,46.78,50.49,56.03,50.15,43.62,43.68,49.68,52.46,62.17,59.61,62.3,67.44,,644.41,353.66,290.75,,10.55,11.55,11.93,12.35,12.48,12.89,13.19,13.44,14.05,14.21,14.33,2000.0,,,,Dooen 2,2.71,14.56,0.0,12.61,,,,,,,,,,,39.3,42.32,49.56,46.31,44.38,47.77,49.79,601.45,331.81,269.64,,,,52.75,57.3,53.42,55.21,63.34
2025-06-01 03:45:00,,,,,,,1.54,1.47,1.89,1.97,2.32,2.58,2.52,2.61,2.51,2.86,2.79,,,0.0,,,46.78,50.45,56.04,50.21,43.62,43.68,49.65,52.51,62.16,59.62,62.32,67.45,,644.49,353.71,290.78,,10.51,11.57,11.93,12.35,12.47,12.87,13.16,13.44,14.04,14.21,14.32,2000.0,,,,Dooen 2,2.71,14.6,0.0,12.59,,,,,,,,,,,39.31,42.3,49.56,46.35,44.38,47.76,49.78,601.5,331.84,269.66,,,,52.74,57.32,53.43,55.23,63.34
2025-06-01 04:00:00,,,,,,,1.54,1.47,1.89,1.97,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.76,50.47,56.02,50.24,43.62,43.65,49.66,52.51,62.19,59.64,62.33,67.4,,644.49,353.73,290.76,,10.49,11.5,11.95,12.33,12.47,12.87,13.16,13.46,14.08,14.22,14.35,2000.0,,,,Dooen 2,2.71,14.62,0.0,12.58,,,,,,,,,,,39.28,42.31,49.54,46.35,44.4,47.79,49.8,601.41,331.74,269.67,,,,52.71,57.26,53.43,55.23,63.31
2025-06-01 04:15:00,,,,,,,1.54,1.47,1.89,1.96,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.73,50.45,56.02,50.21,43.62,43.69,49.69,52.53,62.18,59.64,62.27,67.44,,644.47,353.75,290.72,,10.45,11.5,11.92,12.35,12.47,12.87,13.19,13.42,14.05,14.19,14.33,2000.0,,,,Dooen 2,2.71,14.58,0.0,12.6,,,,,,,,,,,39.3,42.29,49.57,46.37,44.4,47.79,49.8,601.59,331.87,269.72,,,,52.73,57.29,53.48,55.23,63.34
2025-06-01 04:30:00,,,,,,,1.54,1.47,1.89,1.96,2.33,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.77,50.45,56.05,50.19,43.62,43.68,49.67,52.51,62.16,59.65,62.34,67.42,,644.51,353.75,290.76,,10.46,11.49,11.9,12.33,12.49,12.84,13.16,13.47,14.08,14.21,14.31,2000.0,,,,Dooen 2,2.72,14.61,0.0,12.58,,,,,,,,,,,39.25,42.32,49.54,46.34,44.38,47.8,49.8,601.41,331.78,269.63,,,,52.71,57.27,53.4,55.24,63.36
2025-06-01 04:45:00,,,,,,,1.53,1.47,1.89,1.97,2.32,2.58,2.52,2.61,2.51,2.87,2.78,,,0.0,,,46.73,50.45,56.03,50.14,43.62,43.66,49.68,52.5,62.13,59.59,62.33,67.45,,644.31,353.68,290.63,,10.39,11.47,11.89,12.36,12.46,12.87,13.18,13.44,14.08,14.22,14.32,2000.0,,,,Dooen 2,2.71,14.59,0.0,12.57,,,,,,,,,,,39.29,42.31,49.52,46.35,44.41,47.77,49.83,601.57,331.92,269.65,,,,52.74,57.32,53.44,55.26,63.33
2025-06-01 05:00:00,,,,,,,1.53,1.47,1.89,1.97,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.69,50.45,56.07,50.14,43.62,43.67,49.67,52.52,62.16,59.64,62.35,67.45,,644.43,353.79,290.64,,10.38,11.48,11.93,12.35,12.47,12.87,13.16,13.44,14.07,14.19,14.34,2000.0,,,,Dooen 2,2.71,14.6,0.0,12.57,,,,,,,,,,,39.26,42.32,49.55,46.35,44.4,47.79,49.8,601.44,331.77,269.67,,,,52.7,57.31,53.44,55.21,63.31
2025-06-01 05:15:00,,,,,,,1.53,1.47,1.89,1.96,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.74,50.45,56.0,50.16,43.64,43.7,49.66,52.51,62.16,59.61,62.31,67.44,,644.38,353.69,290.69,,10.37,11.44,11.9,12.35,12.47,12.89,13.16,13.44,14.06,14.21,14.34,2000.0,,,,Dooen 2,2.71,14.59,0.0,12.57,,,,,,,,,,,39.26,42.32,49.54,46.35,44.4,47.79,49.82,601.51,331.85,269.66,,,,52.7,57.29,53.48,55.23,63.33
2025-06-01 05:30:00,,,,,,,1.52,1.46,1.88,1.96,2.32,2.57,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.74,50.45,56.05,50.21,43.62,43.69,49.68,52.49,62.16,59.58,62.29,67.44,,644.4,353.64,290.76,,10.35,11.46,11.91,12.35,12.45,12.86,13.16,13.44,14.06,14.21,14.34,2000.0,,,,Dooen 2,2.71,14.58,0.0,12.56,,,,,,,,,,,39.28,42.3,49.51,46.3,44.37,47.79,49.77,601.4,331.85,269.55,,,,52.72,57.28,53.44,55.31,63.33
2025-06-01 05:45:00,,,,,,,1.52,1.46,1.89,1.97,2.32,2.58,2.52,2.6,2.51,2.86,2.78,,,0.0,,,46.74,50.4,56.0,50.14,43.57,43.68,49.68,52.5,62.18,59.63,62.33,67.39,,644.24,353.71,290.53,,10.31,11.45,11.92,12.34,12.47,12.84,13.14,13.43,14.05,14.23,14.31,2000.0,,,,Dooen 2,2.71,14.6,0.0,12.56,,,,,,,,,,,39.22,42.29,49.54,46.35,44.4,47.74,49.79,601.37,331.83,269.54,,,,52.73,57.3,53.44,55.25,63.32
2025-06-01 06:00:00,,,,,,,1.52,1.46,1.89,1.97,2.33,2.57,2.52,2.6,2.51,2.86,2.78,,,0.0,,,46.75,50.4,56.08,50.18,43.61,43.68,49.69,52.52,62.18,59.6,62.31,67.41,,644.41,353.71,290.7,,10.27,11.44,11.89,12.35,12.46,12.87,13.15,13.44,14.05,14.2,14.32,2000.0,,,,Dooen 2,2.71,14.59,0.0,12.56,,,,,,,,,,,39.24,42.28,49.55,46.34,44.36,47.74,49.76,601.22,331.71,269.51,,,,52.73,57.28,53.41,55.22,63.31
2025-06-01 06:15:00,,,,,,,1.52,1.46,1.88,1.96,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.74,50.39,56.01,50.21,43.62,43.66,49.67,52.53,62.16,59.61,62.29,67.41,,644.3,353.67,290.63,,10.27,11.4,11.92,12.35,12.47,12.87,13.15,13.44,14.05,14.21,14.34,2000.0,,,,Dooen 2,2.71,14.6,0.0,12.55,,,,,,,,,,,39.24,42.31,49.54,46.33,44.36,47.77,49.81,601.33,331.78,269.55,,,,52.71,57.28,53.4,55.25,63.33
2025-06-01 06:30:00,,,,,,,1.52,1.46,1.88,1.97,2.33,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.71,50.38,56.06,50.19,43.59,43.71,49.67,52.5,62.2,59.62,62.33,67.39,,644.35,353.71,290.64,,10.24,11.38,11.89,12.33,12.47,12.86,13.11,13.44,14.05,14.19,14.34,2000.0,,,,Dooen 2,2.71,14.6,0.0,12.56,,,,,,,,,,,39.22,42.28,49.52,46.34,44.37,47.76,49.79,601.27,331.78,269.49,,,,52.7,57.3,53.48,55.2,63.31
2025-06-01 06:45:00,,,,,,,1.51,1.46,1.88,1.96,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.7,50.35,56.03,50.19,43.62,43.7,49.65,52.51,62.14,59.63,62.33,67.41,,644.26,353.67,290.59,,10.22,11.4,11.89,12.33,12.48,12.85,13.13,13.42,14.08,14.18,14.34,2000.0,,,,Dooen 2,2.71,14.59,0.0,12.57,,,,,,,,,,,39.23,42.28,49.49,46.33,44.39,47.77,49.8,601.23,331.74,269.49,,,,52.71,57.31,53.41,55.23,63.28
2025-06-01 07:00:00,,,,,,,1.51,1.46,1.88,1.97,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.71,50.32,56.1,50.23,43.62,43.66,49.65,52.49,62.14,59.58,62.33,67.41,,644.24,353.6,290.64,,10.15,11.37,11.86,12.35,12.44,12.85,13.13,13.42,14.05,14.23,14.34,2000.0,,,,Dooen 2,2.71,14.59,0.0,12.56,,,,,,,,,,,39.2,42.29,49.5,46.33,44.37,47.78,49.81,601.23,331.76,269.47,,,,52.69,57.3,53.43,55.23,63.3
2025-06-01 07:15:00,,,,,,,1.51,1.46,1.88,1.96,2.33,2.57,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.73,50.35,56.01,50.18,43.62,43.69,49.66,52.52,62.12,59.6,62.33,67.44,,644.25,353.67,290.58,,10.16,11.34,11.85,12.32,12.44,12.87,13.16,13.44,14.02,14.19,14.33,2000.0,,,,Dooen 2,2.71,14.6,0.02,12.56,,,,,,,,,,,39.17,42.27,49.48,46.31,44.37,47.77,49.81,601.13,331.76,269.37,,,,52.71,57.26,53.45,55.22,63.31
2025-06-01 07:30:00,,,,,,,1.51,1.46,1.88,1.96,2.32,2.58,2.52,2.61,2.51,2.86,2.78,,,0.0,,,46.69,50.35,56.03,50.21,43.59,43.68,49.69,52.5,62.16,59.55,62.28,67.41,,644.14,353.59,290.55,,10.11,11.33,11.86,12.33,12.48,12.87,13.16,13.47,14.05,14.21,14.33,2000.0,,,,Dooen 2,2.71,14.59,0.08,12.93,,,,,,,,,,,39.22,42.31,49.49,46.31,44.37,47.78,49.77,601.29,331.81,269.48,,,,52.7,57.29,53.45,55.22,63.38
2025-06-01 07:45:00,,,,,,,1.51,1.46,1.88,1.96,2.32,2.57,2.52,2.6,2.51,2.86,2.78,,,0.0,,,46.69,50.33,56.02,50.25,43.6,43.71,49.68,52.55,62.16,59.6,62.33,67.44,,644.36,353.76,290.6,,10.06,11.32,11.87,12.33,12.46,12.86,13.16,13.39,14.02,14.21,14.33,2000.0,,,,Dooen 2,2.71,14.59,0.11,13.61,,,,,,,,,,,39.2,42.27,49.49,46.34,44.35,47.78,49.83,601.31,331.88,269.43,,,,52.74,57.28,53.45,55.23,63.35
